id,code,creator,hos,product_name,image_url,generic_name,quantity,brands,brands_tags,categories,categories_tags,serving_size,energy_100g,fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,starch_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,alcohol_100g,folates_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,iron_100g,fluoride_100g,iodine_100g,caffeine_100g,cocoa_100g,demo_cat
280327,5.05138E+12,usda-ndb-import,0,Baked Donuts,,,,Fresh & Easy,fresh-easy,,,57 g (1 DONUT),1469,14.04,0.07,56.14,36.84,,0,7.02,0.3556,0.14,,,,,,0,0.00189,,,,,donut
55265,42400240815,usda-ndb-import,0,Honey Graham Cereal,,,,Honey Graham Toasters,honey-graham-toasters,,,30 g (0.75 cup),1674,10,0,76.67,33.33,,3.3,6.67,2.20218,0.867,,,,0.25,,0.333,0.03,,,,,cereal
171070,8.84912E+11,usda-ndb-import,0,"Honey Bunches Of Oats, Cereal, Pecan & Maple Brown Sugar",,,,Post,post,,,29 g (0.75 cup),1732,8.62,0,79.31,20.69,,6.9,6.9,1.05156,0.414,,,,0.19,,0,0.02172,,,,,cereal
55517,42563600228,usda-ndb-import,0,Bite Sized Cracked Wheat Crackers,,,,Field Day,field-day,,,30 g (30 g),1674,8.33,0,63.33,0,,0,6.67,1.27,0.5,,,,,,0.2,0.0036,,,,,cracker
40525,41224710146,usda-ndb-import,0,Water Crackers,,,,Roland,roland,,,16 g (16 g),1833,6.25,0,75,0,,6.2,6.25,1.905,0.75,,,,,,0,0,,,,,cracker
174905,9.80125E+11,usda-ndb-import,0,Quinoa Hot Cereal Flakes,,,,Ancient Harvest,ancient-harvest,,,34 g (0.33 cup),1611,5.88,0,67.65,5.88,,7.1,12.65,0.01524,0.006,,,,,,0,0.00424,,,,,cereal
31434,35826097101,usda-ndb-import,0,Sweet & Crispy Graham Crackers,,,,"Food Lion,  Food Town Stores Inc.","food-lion,food-town-stores-inc",,,35 g (2 FULL CRACKER SHEETS),1674,5.71,0,80,22.86,,5.7,5.71,1.30556,0.514,,,,0.171,,0.429,0.00309,,,,,cracker
125513,6.88267E+11,usda-ndb-import,0,"Oats & O's, Toasted Whole Grain Oat Cereal",,,,"Foodhold,  Foodhold U.S.A  Llc","foodhold,foodhold-u-s-a-llc",,,28 g (1 cup),1494,5.36,0,75,3.57,,10.7,10.71,1.45034,0.571,,,,0.607,,0.357,0.03214,,,,,cereal
54983,42400060024,usda-ndb-import,0,Naturally & Artificially Flavored Sweetened Corn & Oat Cereal With Real Cocoa,,,,Chocolatey Colossal Crunch,chocolatey-colossal-crunch,,,30 g (0.75 cup),1674,5,0,86.67,43.33,,3.3,3.33,1.69418,0.667,,,,0.167,,0.2,0.03,,,,,cereal
50575,41498114947,usda-ndb-import,0,Sweetened Multi-Grain Cereal Made With Natural Fruit Flavors With Other Natural Flavors,,,,Millville,millville,,,29 g (1 cup),1586,3.45,0,86.21,37.93,,10.3,3.45,1.18364,0.466,,,,0.103,,0.345,0.01552,,,,,cereal
55025,42400109754,usda-ndb-import,0,"Cocoa Dyno-Bites, Sweetened Rice Cereal With Real Cocoa",,,,Mom Brands,mom-brands,,,29 g (0.75 cup),1732,3.45,0,89.66,44.83,,0,3.45,1.31318,0.517,,,,0.19,,0,0.00621,,,,,cereal
55247,42400236245,usda-ndb-import,0,"Berry Bunch Crunch, Sweetened Corn & Oat Cereal",,,,Mom Brands,mom-brands,,,30 g (0.75 cup),1674,3.33,0,86.67,46.67,,3.3,3.33,1.18618,0.467,,,,0.1,,0,0.03,,,,,cereal
308377,7.75011E+12,usda-ndb-import,0,Water Crackers,,,,Panaderia San Jorge S.A.,panaderia-san-jorge-s-a,,,30 g (30 GRM),1602,3.33,0,76.67,3.33,,,13.33,1.524,0.6,,,,,,,0.0072,,,,,cracker
6793,11153041949,usda-ndb-import,0,Crunchy Oat Squares With Cinnamon Cereal,,,,"Foodtown,  Foodtown  Inc.","foodtown,foodtown-inc",,,32 g (0.75 cup),1569,3.12,0,81.25,25,,6.2,9.38,1.07188,0.422,,,,0.438,,0.312,0.0225,,,,,cereal
17710,21130281022,usda-ndb-import,0,Corn Flakes Cereal,,,,"Safeway Kitchens,  Safeway  Inc.","safeway-kitchens,safeway-inc",,,28 g (1 cup),1494,0,0,85.71,7.14,,3.6,7.14,1.45034,0.571,,,,0.107,,0,0.03214,,,,,cereal
63250,51933150546,usda-ndb-import,0,"Sweetened Puffed Wheat Cereal, Honey",,,,Kiggins,kiggins,,,27 g (0.75 cup),1703,0,0,88.89,55.56,,0,7.41,0.61214,0.241,,0.000741,,0.167,,0,0.00667,,,,,cereal
66652,58449620020,usda-ndb-import,0,"Eco Pac, Cereal, Millet Puffs",,,,Nature's Path,nature-s-path,,,16 g (1 cup),1305,0,0,87.5,0,,6.2,12.5,0,0,,,,,,0,0.0045,,,,,cereal
